2016_s_at,RPL10,11072.3,7783.7,9920.1,6488.7,7962.8,8204.9,6157.3,10267.1,10663.9,13839.0,16967.8,10841.4,9925.9,9510.7,7999.8,6440.9,5974.5,9380.7,8487.2,10195.4,8361.6
201_s_at,B2M,14174.7,7022.4,10875.9,8543.9,8324.6,8669.9,6782.7,9241.6,11594.8,14537.9,18702.9,11251.7,12221.1,10644.4,7793.2,6199.7,9300.5,10701.1,8518.0,12285.1,4191.6
256_s_at,RPSAP58,10610.0,7357.6,8716.3,6806.5,6163.3,7126.3,6602.7,8979.1,8526.2,16984.7,15294.7,7240.9,8223.6,9079.5,7224.1,6397.4,6214.1,8870.9,5620.5,8728.2,8915.4
31330_at,RPS19,8543.2,6195.4,7596.9,5702.8,4518.4,5850.4,5974.0,7851.9,8911.7,6731.6,13947.7,6611.3,6437.3,7389.7,5395.1,5701.7,4376.0,7062.3,5919.6,6532.7,7860.3
31568_at,RPS10,7966.5,6161.5,7259.0,5491.1,5844.2,6770.4,5311.0,7467.4,8580.0,10211.9,13985.3,7160.3,7273.8,7845.3,6280.7,5313.6,6942.9,7744.4,6407.2,8024.2,9611.8
31708_at,RPL30,7257.8,6052.3,7373.0,5516.8,5709.7,6647.6,4890.6,6464.7,8510.9,7640.3,9656.7,8084.2,5992.3,6843.1,6442.9,5788.6,4792.0,6924.2,5649.7,6519.8,6763.7
32276_at,RPL32,8558.9,5687.4,6290.0,5493.8,5499.8,6060.6,4593.0,7153.0,6966.4,12323.3,9745.0,6962.8,6308.0,7155.4,5546.5,5389.6,4841.2,6313.0,5976.3,7047.3,8022.2
32330_at,RPS11,11438.3,7159.1,9323.2,6332.9,6560.1,8841.7,6650.0,8397.5,10615.3,14473.9,14163.2,7855.0,8141.9,8247.9,7786.2,6615.8,6794.3,8251.2,7134.3,9398.4,8985.0
32438_at,RPS20,8975.7,7336.6,9793.3,6668.9,6871.7,8802.3,5695.6,9660.6,11485.6,12707.9,19587.9,10254.1,8529.2,9331.6,8722.7,7036.4,7103.3,9232.8,9463.7,9995.9,12650.3
34085_at,RPL38,8874.1,6365.9,8055.4,5875.9,7446.1,8179.6,7066.6,8814.1,10870.6,11801.0,15089.0,8245.7,7786.8,8485.5,5766.4,6459.2,8875.8,10082.4,8366.3,8127.0,9310.8
34317_g_at,RPS15A,7623.0,4927.4,6119.4,5031.4,4506.3,6084.7,5079.6,6207.3,7937.0,7432.9,10510.3,5699.2,5692.1,6203.2,4884.3,4771.6,4891.8,6745.9,5645.6,6275.1,6656.9
347_s_at,RPS23,10322.5,6465.2,8709.2,6233.5,6920.8,7909.2,6250.2,8861.4,12044.4,11393.0,13019.3,9131.7,8407.2,8552.1,7041.0,6064.8,9070.6,10270.2,9296.0,7784.6,10394.8
35119_at,RPL13AP5,11251.3,6749.6,8669.8,6580.2,6479.7,8049.8,6378.4,8095.6,11039.4,9845.8,13648.2,8296.0,7042.5,8250.8,7055.7,6501.9,7546.5,9238.3,7266.0,7701.8,11742.7
37383_f_at,HLA-C,10140.7,6278.4,10113.3,7553.1,8455.5,8076.2,5568.2,8364.4,9339.7,16664.9,17768.0,11493.4,9456.0,9379.3,8937.9,6173.3,7475.9,8114.0,13041.1,11293.2,10104.4
428_s_at,B2M,6615.4,4586.4,6794.0,5261.4,5973.7,5985.9,4223.7,7061.0,9045.6,9855.0,12906.3,7750.7,6404.5,6978.7,5381.6,4424.4,7135.6,6028.6,8972.8,8094.9,6948.4
AFFX-CreX-3_at,--Control,9222.6,5367.3,7913.1,4508.8,6524.2,8196.5,3434.0,7469.8,16951.8,19002.5,30895.0,7556.4,5851.0,8607.6,6473.3,4913.9,13057.0,6917.2,11193.3,21007.3,14398.0
AFFX-CreX-5_at,--Control,5000.7,3414.0,5669.0,2906.8,4115.6,5041.2,2353.0,4336.0,11916.9,17499.0,22506.1,4773.4,3794.9,5589.8,6046.0,3103.9,9073.9,4717.4,7632.8,16022.9,11603.7
AFFX-HSAC07/X00351_M_at,ACTB,8270.7,5936.4,8049.1,6259.9,7394.6,5452.9,4872.1,8280.3,5440.9,10684.1,13324.9,10264.1,7880.9,6809.8,5973.4,4600.5,3403.8,5280.5,10200.2,9549.5,2915.7
AFFX-hum_alu_at,--Control,10906.7,8142.3,9105.9,8779.7,7736.0,8370.7,6965.8,14021.7,12539.8,23510.8,22731.8,10058.0,9362.9,11581.4,9824.8,6723.4,2668.1,3575.0,20253.0,14575.9,16216.1
